%1. Title: Protein Localization Sites
%
%
%2. Creator and Maintainer:
%	     Kenta Nakai
%             Institue of Molecular and Cellular Biology
%	     Osaka, University
%	     1-3 Yamada-oka, Suita 565 Japan
%	     nakai@imcb.osaka-u.ac.jp
%             http://www.imcb.osaka-u.ac.jp/nakai/psort.html
%   Donor: Paul Horton (paulh@cs.berkeley.edu)
%   Date:  September, 1996
%   See also: yeast database
%
%3. Past Usage.
%Reference: "A Probablistic Classification System for Predicting the Cellular 
%           Localization Sites of Proteins", Paul Horton & Kenta Nakai,
%           Intelligent Systems in Molecular Biology, 109-115.
%	   St. Louis, USA 1996.
%Results: 81% for E.coli with an ad hoc structured
%	 probability model. Also similar accuracy for Binary Decision Tree and
%	 Bayesian Classifier methods applied by the same authors in
%	 unpublished results.
%
%Predicted Attribute: Localization site of protein. ( non-numeric ).
%
%
%4. The references below describe a predecessor to this dataset and its 
%development. They also give results (not cross-validated) for classification 
%by a rule-based expert system with that version of the dataset.
%
%Reference: "Expert Sytem for Predicting Protein Localization Sites in 
%           Gram-Negative Bacteria", Kenta Nakai & Minoru Kanehisa,  
%           PROTEINS: Structure, Function, and Genetics 11:95-110, 1991.
%
%Reference: "A Knowledge Base for Predicting Protein Localization Sites in
%	   Eukaryotic Cells", Kenta Nakai & Minoru Kanehisa, 
%	   Genomics 14:897-911, 1992.
%
%
%5. Number of Instances:  336 for the E.coli dataset and 
%
%
%6. Number of Attributes.
%         for E.coli dataset:  8 ( 7 predictive, 1 name )
%
%	     
%7. Attribute Information.
%
%  1.  Sequence Name: Accession number for the SWISS-PROT database
%  2.  mcg: McGeoch's method for signal sequence recognition.
%  3.  gvh: von Heijne's method for signal sequence recognition.
%  4.  lip: von Heijne's Signal Peptidase II consensus sequence score.
%           Binary attribute.
%  5.  chg: Presence of charge on N-terminus of predicted lipoproteins.
%	   Binary attribute.
%  6.  aac: score of discriminant analysis of the amino acid content of
%	   outer membrane and periplasmic proteins.
%  7. alm1: score of the ALOM membrane spanning region prediction program.
%  8. alm2: score of ALOM program after excluding putative cleavable signal
%	   regions from the sequence.
%
%
%
%8. Missing Attribute Values: None.
%
%
%9. Class Distribution. The class is the localization site. Please see Nakai &
%		       Kanehisa referenced above for more details.
%
%  cp  (cytoplasm)                                    143
%  im  (inner membrane without signal sequence)        77               
%  pp  (perisplasm)                                    52
%  imU (inner membrane, uncleavable signal sequence)   35
%  om  (outer membrane)                                20
%  omL (outer membrane lipoprotein)                     5
%  imL (inner membrane lipoprotein)                     2
%  imS (inner membrane, cleavable signal sequence)      2

@relation ecoli

@attribute Name {name}
@attribute mcg numeric
@attribute gvh numeric
@attribute lip numeric
@attribute chg numeric
@attribute aac numeric
@attribute alm1 numeric
@attribute alm2 numeric
@attribute class {cp,im,pp,imU,om,omL,imL,imS}

@data
name, 0.29, 0.52, 0.48, 0.50, 0.42, 0.29, 0.39, cp
name, 0.65, 0.47, 0.48, 0.50, 0.59, 0.30, 0.40, cp
name, 0.32, 0.42, 0.48, 0.50, 0.35, 0.28, 0.38, cp
name, 0.38, 0.46, 0.48, 0.50, 0.48, 0.22, 0.29, cp
name, 0.33, 0.45, 0.48, 0.50, 0.52, 0.32, 0.41, cp
name, 0.30, 0.37, 0.48, 0.50, 0.59, 0.41, 0.49, cp
name, 0.40, 0.50, 0.48, 0.50, 0.45, 0.39, 0.47, cp
name, 0.28, 0.38, 0.48, 0.50, 0.50, 0.33, 0.42, cp
name, 0.61, 0.45, 0.48, 0.50, 0.48, 0.35, 0.41, cp
name, 0.17, 0.38, 0.48, 0.50, 0.45, 0.42, 0.50, cp
name, 0.44, 0.35, 0.48, 0.50, 0.55, 0.55, 0.61, cp
name, 0.43, 0.40, 0.48, 0.50, 0.39, 0.28, 0.39, cp
name, 0.42, 0.35, 0.48, 0.50, 0.58, 0.15, 0.27, cp
name, 0.23, 0.33, 0.48, 0.50, 0.43, 0.33, 0.43, cp
name, 0.37, 0.52, 0.48, 0.50, 0.42, 0.42, 0.36, cp
name, 0.29, 0.30, 0.48, 0.50, 0.45, 0.03, 0.17, cp
name, 0.22, 0.36, 0.48, 0.50, 0.35, 0.39, 0.47, cp
name, 0.23, 0.58, 0.48, 0.50, 0.37, 0.53, 0.59, cp
name, 0.47, 0.47, 0.48, 0.50, 0.22, 0.16, 0.26, cp
name, 0.54, 0.47, 0.48, 0.50, 0.28, 0.33, 0.42, cp
name, 0.51, 0.37, 0.48, 0.50, 0.35, 0.36, 0.45, cp
name, 0.40, 0.35, 0.48, 0.50, 0.45, 0.33, 0.42, cp
name, 0.44, 0.34, 0.48, 0.50, 0.30, 0.33, 0.43, cp
name, 0.42, 0.38, 0.48, 0.50, 0.54, 0.34, 0.43, cp
name, 0.44, 0.56, 0.48, 0.50, 0.50, 0.46, 0.54, cp
name, 0.52, 0.36, 0.48, 0.50, 0.41, 0.28, 0.38, cp
name, 0.36, 0.41, 0.48, 0.50, 0.48, 0.47, 0.54, cp
name, 0.18, 0.30, 0.48, 0.50, 0.46, 0.24, 0.35, cp
name, 0.47, 0.29, 0.48, 0.50, 0.51, 0.33, 0.43, cp
name, 0.24, 0.43, 0.48, 0.50, 0.54, 0.52, 0.59, cp
name, 0.25, 0.37, 0.48, 0.50, 0.41, 0.33, 0.42, cp
name, 0.52, 0.57, 0.48, 0.50, 0.42, 0.47, 0.54, cp
name, 0.25, 0.37, 0.48, 0.50, 0.43, 0.26, 0.36, cp
name, 0.35, 0.48, 0.48, 0.50, 0.56, 0.40, 0.48, cp
name, 0.26, 0.26, 0.48, 0.50, 0.34, 0.25, 0.35, cp
name, 0.44, 0.51, 0.48, 0.50, 0.47, 0.26, 0.36, cp
name, 0.37, 0.50, 0.48, 0.50, 0.42, 0.36, 0.45, cp
name, 0.44, 0.42, 0.48, 0.50, 0.42, 0.25, 0.20, cp
name, 0.24, 0.43, 0.48, 0.50, 0.37, 0.28, 0.38, cp
name, 0.42, 0.30, 0.48, 0.50, 0.48, 0.26, 0.36, cp
name, 0.48, 0.42, 0.48, 0.50, 0.45, 0.25, 0.35, cp
name, 0.41, 0.48, 0.48, 0.50, 0.51, 0.44, 0.51, cp
name, 0.44, 0.28, 0.48, 0.50, 0.43, 0.27, 0.37, cp
name, 0.29, 0.41, 0.48, 0.50, 0.48, 0.38, 0.46, cp
name, 0.34, 0.28, 0.48, 0.50, 0.41, 0.35, 0.44, cp
name, 0.41, 0.43, 0.48, 0.50, 0.45, 0.31, 0.41, cp
name, 0.29, 0.47, 0.48, 0.50, 0.41, 0.23, 0.34, cp
name, 0.34, 0.55, 0.48, 0.50, 0.58, 0.31, 0.41, cp
name, 0.36, 0.56, 0.48, 0.50, 0.43, 0.45, 0.53, cp
name, 0.40, 0.46, 0.48, 0.50, 0.52, 0.49, 0.56, cp
name, 0.50, 0.49, 0.48, 0.50, 0.49, 0.46, 0.53, cp
name, 0.52, 0.44, 0.48, 0.50, 0.37, 0.36, 0.42, cp
name, 0.50, 0.51, 0.48, 0.50, 0.27, 0.23, 0.34, cp
name, 0.53, 0.42, 0.48, 0.50, 0.16, 0.29, 0.39, cp
name, 0.34, 0.46, 0.48, 0.50, 0.52, 0.35, 0.44, cp
name, 0.40, 0.42, 0.48, 0.50, 0.37, 0.27, 0.27, cp
name, 0.41, 0.43, 0.48, 0.50, 0.50, 0.24, 0.25, cp
name, 0.30, 0.45, 0.48, 0.50, 0.36, 0.21, 0.32, cp
name, 0.31, 0.47, 0.48, 0.50, 0.29, 0.28, 0.39, cp
name, 0.64, 0.76, 0.48, 0.50, 0.45, 0.35, 0.38, cp
name, 0.35, 0.37, 0.48, 0.50, 0.30, 0.34, 0.43, cp
name, 0.57, 0.54, 0.48, 0.50, 0.37, 0.28, 0.33, cp
name, 0.65, 0.55, 0.48, 0.50, 0.34, 0.37, 0.28, cp
name, 0.51, 0.46, 0.48, 0.50, 0.58, 0.31, 0.41, cp
name, 0.38, 0.40, 0.48, 0.50, 0.63, 0.25, 0.35, cp
name, 0.24, 0.57, 0.48, 0.50, 0.63, 0.34, 0.43, cp
name, 0.38, 0.26, 0.48, 0.50, 0.54, 0.16, 0.28, cp
name, 0.33, 0.47, 0.48, 0.50, 0.53, 0.18, 0.29, cp
name, 0.24, 0.34, 0.48, 0.50, 0.38, 0.30, 0.40, cp
name, 0.26, 0.50, 0.48, 0.50, 0.44, 0.32, 0.41, cp
name, 0.44, 0.49, 0.48, 0.50, 0.39, 0.38, 0.40, cp
name, 0.43, 0.32, 0.48, 0.50, 0.33, 0.45, 0.52, cp
name, 0.49, 0.43, 0.48, 0.50, 0.49, 0.30, 0.40, cp
name, 0.47, 0.28, 0.48, 0.50, 0.56, 0.20, 0.25, cp
name, 0.32, 0.33, 0.48, 0.50, 0.60, 0.06, 0.20, cp
name, 0.34, 0.35, 0.48, 0.50, 0.51, 0.49, 0.56, cp
name, 0.35, 0.34, 0.48, 0.50, 0.46, 0.30, 0.27, cp
name, 0.38, 0.30, 0.48, 0.50, 0.43, 0.29, 0.39, cp
name, 0.38, 0.44, 0.48, 0.50, 0.43, 0.20, 0.31, cp
name, 0.41, 0.51, 0.48, 0.50, 0.58, 0.20, 0.31, cp
name, 0.34, 0.42, 0.48, 0.50, 0.41, 0.34, 0.43, cp
name, 0.51, 0.49, 0.48, 0.50, 0.53, 0.14, 0.26, cp
name, 0.25, 0.51, 0.48, 0.50, 0.37, 0.42, 0.50, cp
name, 0.29, 0.28, 0.48, 0.50, 0.50, 0.42, 0.50, cp
name, 0.25, 0.26, 0.48, 0.50, 0.39, 0.32, 0.42, cp
name, 0.24, 0.41, 0.48, 0.50, 0.49, 0.23, 0.34, cp
name, 0.17, 0.39, 0.48, 0.50, 0.53, 0.30, 0.39, cp
name, 0.04, 0.31, 0.48, 0.50, 0.41, 0.29, 0.39, cp
name, 0.61, 0.36, 0.48, 0.50, 0.49, 0.35, 0.44, cp
name, 0.34, 0.51, 0.48, 0.50, 0.44, 0.37, 0.46, cp
name, 0.28, 0.33, 0.48, 0.50, 0.45, 0.22, 0.33, cp
name, 0.40, 0.46, 0.48, 0.50, 0.42, 0.35, 0.44, cp
name, 0.23, 0.34, 0.48, 0.50, 0.43, 0.26, 0.37, cp
name, 0.37, 0.44, 0.48, 0.50, 0.42, 0.39, 0.47, cp
name, 0.00, 0.38, 0.48, 0.50, 0.42, 0.48, 0.55, cp
name, 0.39, 0.31, 0.48, 0.50, 0.38, 0.34, 0.43, cp
name, 0.30, 0.44, 0.48, 0.50, 0.49, 0.22, 0.33, cp
name, 0.27, 0.30, 0.48, 0.50, 0.71, 0.28, 0.39, cp
name, 0.17, 0.52, 0.48, 0.50, 0.49, 0.37, 0.46, cp
name, 0.36, 0.42, 0.48, 0.50, 0.53, 0.32, 0.41, cp
name, 0.30, 0.37, 0.48, 0.50, 0.43, 0.18, 0.30, cp
name, 0.26, 0.40, 0.48, 0.50, 0.36, 0.26, 0.37, cp
name, 0.40, 0.41, 0.48, 0.50, 0.55, 0.22, 0.33, cp
name, 0.22, 0.34, 0.48, 0.50, 0.42, 0.29, 0.39, cp
name, 0.44, 0.35, 0.48, 0.50, 0.44, 0.52, 0.59, cp
name, 0.27, 0.42, 0.48, 0.50, 0.37, 0.38, 0.43, cp
name, 0.16, 0.43, 0.48, 0.50, 0.54, 0.27, 0.37, cp
name, 0.06, 0.61, 0.48, 0.50, 0.49, 0.92, 0.37, im
name, 0.44, 0.52, 0.48, 0.50, 0.43, 0.47, 0.54, im
name, 0.63, 0.47, 0.48, 0.50, 0.51, 0.82, 0.84, im
name, 0.23, 0.48, 0.48, 0.50, 0.59, 0.88, 0.89, im
name, 0.34, 0.49, 0.48, 0.50, 0.58, 0.85, 0.80, im
name, 0.43, 0.40, 0.48, 0.50, 0.58, 0.75, 0.78, im
name, 0.46, 0.61, 0.48, 0.50, 0.48, 0.86, 0.87, im
name, 0.27, 0.35, 0.48, 0.50, 0.51, 0.77, 0.79, im
name, 0.52, 0.39, 0.48, 0.50, 0.65, 0.71, 0.73, im
name, 0.29, 0.47, 0.48, 0.50, 0.71, 0.65, 0.69, im
name, 0.55, 0.47, 0.48, 0.50, 0.57, 0.78, 0.80, im
name, 0.12, 0.67, 0.48, 0.50, 0.74, 0.58, 0.63, im
name, 0.40, 0.50, 0.48, 0.50, 0.65, 0.82, 0.84, im
name, 0.73, 0.36, 0.48, 0.50, 0.53, 0.91, 0.92, im
name, 0.84, 0.44, 0.48, 0.50, 0.48, 0.71, 0.74, im
name, 0.48, 0.45, 0.48, 0.50, 0.60, 0.78, 0.80, im
name, 0.54, 0.49, 0.48, 0.50, 0.40, 0.87, 0.88, im
name, 0.48, 0.41, 0.48, 0.50, 0.51, 0.90, 0.88, im
name, 0.50, 0.66, 0.48, 0.50, 0.31, 0.92, 0.92, im
name, 0.72, 0.46, 0.48, 0.50, 0.51, 0.66, 0.70, im
name, 0.47, 0.55, 0.48, 0.50, 0.58, 0.71, 0.75, im
name, 0.33, 0.56, 0.48, 0.50, 0.33, 0.78, 0.80, im
name, 0.64, 0.58, 0.48, 0.50, 0.48, 0.78, 0.73, im
name, 0.54, 0.57, 0.48, 0.50, 0.56, 0.81, 0.83, im
name, 0.47, 0.59, 0.48, 0.50, 0.52, 0.76, 0.79, im
name, 0.63, 0.50, 0.48, 0.50, 0.59, 0.85, 0.86, im
name, 0.49, 0.42, 0.48, 0.50, 0.53, 0.79, 0.81, im
name, 0.31, 0.50, 0.48, 0.50, 0.57, 0.84, 0.85, im
name, 0.74, 0.44, 0.48, 0.50, 0.55, 0.88, 0.89, im
name, 0.33, 0.45, 0.48, 0.50, 0.45, 0.88, 0.89, im
name, 0.45, 0.40, 0.48, 0.50, 0.61, 0.74, 0.77, im
name, 0.71, 0.40, 0.48, 0.50, 0.71, 0.70, 0.74, im
name, 0.50, 0.37, 0.48, 0.50, 0.66, 0.64, 0.69, im
name, 0.66, 0.53, 0.48, 0.50, 0.59, 0.66, 0.66, im
name, 0.60, 0.61, 0.48, 0.50, 0.54, 0.67, 0.71, im
name, 0.83, 0.37, 0.48, 0.50, 0.61, 0.71, 0.74, im
name, 0.34, 0.51, 0.48, 0.50, 0.67, 0.90, 0.90, im
name, 0.63, 0.54, 0.48, 0.50, 0.65, 0.79, 0.81, im
name, 0.70, 0.40, 0.48, 0.50, 0.56, 0.86, 0.83, im
name, 0.60, 0.50, 1.00, 0.50, 0.54, 0.77, 0.80, im
name, 0.16, 0.51, 0.48, 0.50, 0.33, 0.39, 0.48, im
name, 0.74, 0.70, 0.48, 0.50, 0.66, 0.65, 0.69, im
name, 0.20, 0.46, 0.48, 0.50, 0.57, 0.78, 0.81, im
name, 0.89, 0.55, 0.48, 0.50, 0.51, 0.72, 0.76, im
name, 0.70, 0.46, 0.48, 0.50, 0.56, 0.78, 0.73, im
name, 0.12, 0.43, 0.48, 0.50, 0.63, 0.70, 0.74, im
name, 0.61, 0.52, 0.48, 0.50, 0.54, 0.67, 0.52, im
name, 0.33, 0.37, 0.48, 0.50, 0.46, 0.65, 0.69, im
name, 0.63, 0.65, 0.48, 0.50, 0.66, 0.67, 0.71, im
name, 0.41, 0.51, 0.48, 0.50, 0.53, 0.75, 0.78, im
name, 0.34, 0.67, 0.48, 0.50, 0.52, 0.76, 0.79, im
name, 0.58, 0.34, 0.48, 0.50, 0.56, 0.87, 0.81, im
name, 0.59, 0.56, 0.48, 0.50, 0.55, 0.80, 0.82, im
name, 0.51, 0.40, 0.48, 0.50, 0.57, 0.62, 0.67, im
name, 0.50, 0.57, 0.48, 0.50, 0.71, 0.61, 0.66, im
name, 0.60, 0.46, 0.48, 0.50, 0.45, 0.81, 0.83, im
name, 0.37, 0.47, 0.48, 0.50, 0.39, 0.76, 0.79, im
name, 0.58, 0.55, 0.48, 0.50, 0.57, 0.70, 0.74, im
name, 0.36, 0.47, 0.48, 0.50, 0.51, 0.69, 0.72, im
name, 0.39, 0.41, 0.48, 0.50, 0.52, 0.72, 0.75, im
name, 0.35, 0.51, 0.48, 0.50, 0.61, 0.71, 0.74, im
name, 0.31, 0.44, 0.48, 0.50, 0.50, 0.79, 0.82, im
name, 0.61, 0.66, 0.48, 0.50, 0.46, 0.87, 0.88, im
name, 0.48, 0.49, 0.48, 0.50, 0.52, 0.77, 0.71, im
name, 0.11, 0.50, 0.48, 0.50, 0.58, 0.72, 0.68, im
name, 0.31, 0.36, 0.48, 0.50, 0.58, 0.94, 0.94, im
name, 0.68, 0.51, 0.48, 0.50, 0.71, 0.75, 0.78, im
name, 0.69, 0.39, 0.48, 0.50, 0.57, 0.76, 0.79, im
name, 0.52, 0.54, 0.48, 0.50, 0.62, 0.76, 0.79, im
name, 0.46, 0.59, 0.48, 0.50, 0.36, 0.76, 0.23, im
name, 0.36, 0.45, 0.48, 0.50, 0.38, 0.79, 0.17, im
name, 0.00, 0.51, 0.48, 0.50, 0.35, 0.67, 0.44, im
name, 0.10, 0.49, 0.48, 0.50, 0.41, 0.67, 0.21, im
name, 0.30, 0.51, 0.48, 0.50, 0.42, 0.61, 0.34, im
name, 0.61, 0.47, 0.48, 0.50, 0.00, 0.80, 0.32, im
name, 0.63, 0.75, 0.48, 0.50, 0.64, 0.73, 0.66, im
name, 0.71, 0.52, 0.48, 0.50, 0.64, 1.00, 0.99, im
name, 0.85, 0.53, 0.48, 0.50, 0.53, 0.52, 0.35, imS
name, 0.63, 0.49, 0.48, 0.50, 0.54, 0.76, 0.79, imS
name, 0.75, 0.55, 1.00, 1.00, 0.40, 0.47, 0.30, imL
name, 0.70, 0.39, 1.00, 0.50, 0.51, 0.82, 0.84, imL
name, 0.72, 0.42, 0.48, 0.50, 0.65, 0.77, 0.79, imU
name, 0.79, 0.41, 0.48, 0.50, 0.66, 0.81, 0.83, imU
name, 0.83, 0.48, 0.48, 0.50, 0.65, 0.76, 0.79, imU
name, 0.69, 0.43, 0.48, 0.50, 0.59, 0.74, 0.77, imU
name, 0.79, 0.36, 0.48, 0.50, 0.46, 0.82, 0.70, imU
name, 0.78, 0.33, 0.48, 0.50, 0.57, 0.77, 0.79, imU
name, 0.75, 0.37, 0.48, 0.50, 0.64, 0.70, 0.74, imU
name, 0.59, 0.29, 0.48, 0.50, 0.64, 0.75, 0.77, imU
name, 0.67, 0.37, 0.48, 0.50, 0.54, 0.64, 0.68, imU
name, 0.66, 0.48, 0.48, 0.50, 0.54, 0.70, 0.74, imU
name, 0.64, 0.46, 0.48, 0.50, 0.48, 0.73, 0.76, imU
name, 0.76, 0.71, 0.48, 0.50, 0.50, 0.71, 0.75, imU
name, 0.84, 0.49, 0.48, 0.50, 0.55, 0.78, 0.74, imU
name, 0.77, 0.55, 0.48, 0.50, 0.51, 0.78, 0.74, imU
name, 0.81, 0.44, 0.48, 0.50, 0.42, 0.67, 0.68, imU
name, 0.58, 0.60, 0.48, 0.50, 0.59, 0.73, 0.76, imU
name, 0.63, 0.42, 0.48, 0.50, 0.48, 0.77, 0.80, imU
name, 0.62, 0.42, 0.48, 0.50, 0.58, 0.79, 0.81, imU
name, 0.86, 0.39, 0.48, 0.50, 0.59, 0.89, 0.90, imU
name, 0.81, 0.53, 0.48, 0.50, 0.57, 0.87, 0.88, imU
name, 0.87, 0.49, 0.48, 0.50, 0.61, 0.76, 0.79, imU
name, 0.47, 0.46, 0.48, 0.50, 0.62, 0.74, 0.77, imU
name, 0.76, 0.41, 0.48, 0.50, 0.50, 0.59, 0.62, imU
name, 0.70, 0.53, 0.48, 0.50, 0.70, 0.86, 0.87, imU
name, 0.64, 0.45, 0.48, 0.50, 0.67, 0.61, 0.66, imU
name, 0.81, 0.52, 0.48, 0.50, 0.57, 0.78, 0.80, imU
name, 0.73, 0.26, 0.48, 0.50, 0.57, 0.75, 0.78, imU
name, 0.49, 0.61, 1.00, 0.50, 0.56, 0.71, 0.74, imU
name, 0.88, 0.42, 0.48, 0.50, 0.52, 0.73, 0.75, imU
name, 0.84, 0.54, 0.48, 0.50, 0.75, 0.92, 0.70, imU
name, 0.63, 0.51, 0.48, 0.50, 0.64, 0.72, 0.76, imU
name, 0.86, 0.55, 0.48, 0.50, 0.63, 0.81, 0.83, imU
name, 0.79, 0.54, 0.48, 0.50, 0.50, 0.66, 0.68, imU
name, 0.57, 0.38, 0.48, 0.50, 0.06, 0.49, 0.33, imU
name, 0.78, 0.44, 0.48, 0.50, 0.45, 0.73, 0.68, imU
name, 0.78, 0.68, 0.48, 0.50, 0.83, 0.40, 0.29, om
name, 0.63, 0.69, 0.48, 0.50, 0.65, 0.41, 0.28, om
name, 0.67, 0.88, 0.48, 0.50, 0.73, 0.50, 0.25, om
name, 0.61, 0.75, 0.48, 0.50, 0.51, 0.33, 0.33, om
name, 0.67, 0.84, 0.48, 0.50, 0.74, 0.54, 0.37, om
name, 0.74, 0.90, 0.48, 0.50, 0.57, 0.53, 0.29, om
name, 0.73, 0.84, 0.48, 0.50, 0.86, 0.58, 0.29, om
name, 0.75, 0.76, 0.48, 0.50, 0.83, 0.57, 0.30, om
name, 0.77, 0.57, 0.48, 0.50, 0.88, 0.53, 0.20, om
name, 0.74, 0.78, 0.48, 0.50, 0.75, 0.54, 0.15, om
name, 0.68, 0.76, 0.48, 0.50, 0.84, 0.45, 0.27, om
name, 0.56, 0.68, 0.48, 0.50, 0.77, 0.36, 0.45, om
name, 0.65, 0.51, 0.48, 0.50, 0.66, 0.54, 0.33, om
name, 0.52, 0.81, 0.48, 0.50, 0.72, 0.38, 0.38, om
name, 0.64, 0.57, 0.48, 0.50, 0.70, 0.33, 0.26, om
name, 0.60, 0.76, 1.00, 0.50, 0.77, 0.59, 0.52, om
name, 0.69, 0.59, 0.48, 0.50, 0.77, 0.39, 0.21, om
name, 0.63, 0.49, 0.48, 0.50, 0.79, 0.45, 0.28, om
name, 0.71, 0.71, 0.48, 0.50, 0.68, 0.43, 0.36, om
name, 0.68, 0.63, 0.48, 0.50, 0.73, 0.40, 0.30, om
name, 0.77, 0.57, 1.00, 0.50, 0.37, 0.54, 0.01, omL
name, 0.66, 0.49, 1.00, 0.50, 0.54, 0.56, 0.36, omL
name, 0.71, 0.46, 1.00, 0.50, 0.52, 0.59, 0.30, omL
